"id","label","layer","maturity","traditions","domains","lifespan_stages","functions","grain_size","summary","mechanism","task_types","contexts","prerequisites","constraints","risks","observable_evidence","evidence_status","evidence_confidence","evidence_basis","directness","generalizability","effect","recommendation_status","recommendation_rationale","source_ids","source_locators","tags","provenance"
"pedagogy:learning-strategy-model","Strategy selection by phase of learning","framework","emerging","cognitive | instructional-design","general","primary | middle | secondary | postsecondary | adult-workplace","sequence | practice | self-regulate","unit-course","The effectiveness of a learning strategy depends on whether the learner is acquiring surface knowledge, consolidating deep relations, or attempting transfer.","Strategies that build initial representations differ from those that relate ideas or that cue application, so a strategy's average effect hides a phase interaction.","study strategy recommendation | instructional sequencing","study strategies | adaptive software | classroom | coaching","A judgment of the learner's current phase for this content | More than one strategy available","Phase is content-specific, not a learner trait | Phase boundaries are fuzzy and rarely measured directly | The synthesis draws on meta-analytic averages with heterogeneous quality","Assigning a learner a permanent 'surface learner' label | Recommending transfer strategies before any knowledge exists | Treating the model as validated causal sequencing","Strategy-phase fit; measure=Compare strategy effectiveness against a current-knowledge diagnostic; timing=Before and after strategy change; caveat=An ineffective strategy may reflect wrong phase, not a bad strategy","hypothesis","low","A synthesizing model over strategy meta-analyses; the phase interaction is plausible and useful but not established as a causal sequencing rule.","mixed-direct-and-inferential","Proposed as general; evidence is indirect.","","experimental-only","Good hypothesis generator for what to recommend next; must be tested against learner evidence, not assumed.","source:hattie-donoghue-model | source:dunlosky-techniques","","framework | strategy | sequence | hypothesis","new"
"pedagogy:learning-styles-matching","Learning-styles matching","anti-pattern","deprecated","cognitive","general","cross-lifespan","diagnose","program-system","Do not classify learners into modality styles and match instruction to the preferred mode as a learning policy.","Preferences are real, but the claimed aptitude-by-treatment interaction needed to justify matching has not been demonstrated.","instructional design","all learning environments","None; select representation by content, goal, and accessibility instead","Learner preferences can inform comfort or choice but not causal learning claims","Stable labeling | Narrowing opportunities | Confusing accessibility needs with preferences | Misallocating design effort","Required style-by-method crossover interaction; measure=Randomized comparison of matched and mismatched instruction with objective learning outcomes; timing=After instruction and delay; caveat=Preference surveys or main effects of one format do not test the meshing hypothesis","refuted","high","Authoritative review found virtually no evidence meeting the required interaction standard and some contradictory results.","mixed-direct-and-inferential","The common meshing claim is unsupported across educational settings.","","avoid","Route by content affordance, current evidence, and accessibility—not a learner-style label.","source:learning-styles","","anti-pattern | representation | learner-traits | refuted","inherited"
"pedagogy:learning-trajectories","Learning trajectories","framework","consolidating","developmental | instructional-design","mathematics | science","preschool | primary | middle","diagnose | sequence","unit-course","A learning trajectory pairs a goal with an empirically grounded developmental progression and matched instructional tasks for each level.","Knowing the typical next level lets an adult select a task just beyond the observed level rather than at an assumed grade level.","curriculum sequencing | formative routing | task selection","classroom | preschool | adaptive software | curriculum design","An empirically derived progression for the topic | Observation of the learner's current level | Tasks matched to each level","Progressions are typical paths, not required or universal ones | They exist for relatively few topics | Levels are inferred from behaviour, not measured directly","Converting a trajectory into a fixed developmental gate | Treating an off-path learner as deficient | Assuming a trajectory validated in one population holds everywhere","Movement along the progression; measure=Level-diagnostic tasks administered repeatedly with error analysis; timing=Every few weeks; caveat=Level assignment is an inference and should be revisited","context-dependent","moderate","Extensively developed and evaluated in early mathematics, and endorsed in evidence-rated early-mathematics guidance; coverage outside mathematics is thin.","mixed-direct-and-inferential","Strongest in early mathematics.","","contextual-option","Navigate from observed level rather than age, and keep the progression revisable rather than gating on it.","source:clements-trajectories | source:early-math-wwc | source:early-math-nrc","","framework | mathematics | sequence | progression","new"
"pedagogy:learning-vs-performance","Learning versus performance distinction","principle","established","cognitive","general | assessment-measurement","cross-lifespan","assess | consolidate","unit-course","Performance during instruction is a poor and sometimes inverted proxy for durable learning, so evaluation must be delayed and transfer-oriented.","Current performance reflects momentary retrieval support and cueing; durable learning is a relatively permanent change observable when that support is withdrawn.","instructional evaluation | practice design | learner self-monitoring","classroom | adaptive software | workplace learning | product analytics","A delayed or transfer measure | A defined retention horizon","Requires deferred measurement, which costs time | Learners and instructors both misread fluency as mastery","Optimizing a tutoring product for in-session success metrics | Declaring mastery from immediate post-tests | Removing effective practice because it looks inefficient","Retention and transfer after support is removed; measure=Delayed unassisted assessment and transfer items; timing=Days to weeks after instruction; caveat=Immediate gains can vanish or reverse at delay","strong","high","Explicit review of decades of experiments showing dissociations between acquisition performance and retention or transfer.","direct-intervention","Broad across cognitive and motor domains.","","candidate-default-with-fit-check","Treat as a measurement rule for any adaptive system: never let an in-session signal alone certify learning.","source:soderstrom-bjork | source:bjork-self-regulated","","principle | measurement | retention | warning","new"
"pedagogy:literacy-phoneme-grapheme","Explicit phoneme-grapheme mapping","tactic","established","cognitive | behavioral","literacy","preschool | primary | middle","explain | practice","lesson","Explicitly connect speech segments to letters and practice blending, segmenting, decoding, and encoding.","Stable mappings between phonemes and graphemes support accurate decoding of unfamiliar words and spelling rather than contextual guessing.","beginning reading | word reading | spelling","classroom | intervention | multilingual literacy","Access to oral language in a known language | Explicit cumulative sequence | Practice connected to print","Pair code instruction with oral language, knowledge, fluency, and comprehension | Adapt for language and disability access","Isolating oral phoneme drills indefinitely from print | Treating decoding as complete reading instruction | Guessing from pictures or context as a decoding substitute","Accurate mapping and transfer to unfamiliar print; measure=Segmentation, blending, letter-sound accuracy, pseudoword or unfamiliar-word reading, spelling, and error-type shift; timing=Across cumulative lessons and on novel words; caveat=Memorized word lists can mask weak decoding","strong","high","IES/WWC evidence-rated foundational-reading practice guide.","direct-intervention","Beginning readers and older learners with decoding gaps; language system and learner needs matter.","","candidate-default-with-fit-check","Use explicit cumulative mapping when diagnostic evidence indicates an alphabetic decoding need.","source:literacy-wwc","","literacy | reading | decoding | early-primary","inherited"
"pedagogy:mastery-learning","Mastery learning","method","established","behavioral | instructional-design","general | mathematics | professional-workplace","primary | middle | secondary | postsecondary | adult-workplace","sequence | feedback | assess","unit-course","Hold the criterion constant and let time vary: learners receive formative checks, corrective instruction, and re-assessment until a defined standard is met before moving on.","Frequent criterion checks plus targeted correctives prevent unremediated gaps from compounding into later failure.","hierarchical skill sequences | certification | prerequisite-heavy content","classroom | adaptive software | competency-based programs | clinical training","A defensible mastery criterion | Genuinely different corrective instruction, not just repetition | Flexible time and alternative assessment forms","Requires slack time, which fixed-pace systems rarely have | Effects shrink when correctives are only re-presentation | Criterion setting is a validity judgment, not a technical default","Endless re-testing that becomes attrition by another name | Gaming the criterion with near-identical retest items | Fragmenting a subject into checkbox micro-objectives","Criterion attainment with transfer retained; measure=Mastery rate, attempts to mastery, and delayed transfer performance; timing=Per unit and cumulatively; caveat=Rising mastery rates can reflect easier retests","context-dependent","moderate","Meta-analytic evidence of positive average effects, with strong dependence on corrective quality, criterion setting, and implementation.","direct-intervention","Strongest in hierarchical domains and in mastery-based professional training.","metric=d; value=0.5; note=Meta-analytic averages vary widely by implementation; treat as a range, not a constant.","contextual-option","Strong fit for prerequisite-heavy content when correctives genuinely differ and the criterion is defensible.","source:kulik-mastery | source:mcgaghie-simulation | source:bloom-two-sigma","","method | sequence | assessment | adaptive","new"
"pedagogy:math-and-test-anxiety","Mathematics and test anxiety","construct","established","cognitive | motivational-social","mathematics | assessment-measurement | general","primary | middle | secondary | postsecondary | adult-workplace","diagnose | climate | assess","unit-course","Anxiety consumes working memory during performance and produces avoidance over time; it is reciprocally related to achievement rather than simply caused by it.","Intrusive worry occupies the same limited working memory that the task needs, and avoidance reduces the practice that would build competence.","mathematics performance | timed testing | avoidance patterns","classroom | assessment | tutoring | adaptive software","Measurement distinguishing anxiety from low competence","The relation is bidirectional; correcting only one side is insufficient | Effects are strongest for working-memory-intensive problems | Timed high-stakes formats amplify it","Reading anxious underperformance as missing knowledge | Timed drills that entrench avoidance | Adults transmitting their own anxiety to learners","Performance gap between anxious and low-pressure conditions; measure=Same-content performance under timed and untimed conditions plus validated anxiety measures; timing=Across conditions; caveat=A single low score cannot distinguish anxiety from missing knowledge","strong","high","Consistent experimental evidence on working-memory interference plus a large meta-analysis establishing a robust negative association across ages.","mixed-direct-and-inferential","Broad, established from primary school through adulthood.","metric=r; value=-0.28; note=Meta-analytic association between math anxiety and math achievement.","candidate-default-with-fit-check","Always consider anxiety as an alternative explanation for underperformance before inferring a knowledge gap.","source:ashcraft-krause | source:barroso-math-anxiety","","construct | mathematics | assessment | learner-evidence","new"
"pedagogy:math-strategy-comparison","Mathematical strategy and error comparison","tactic","consolidating","cognitive","mathematics","middle | secondary","transfer | explain","lesson","Compare correct, incomplete, or incorrect solutions and alternative strategies to make structural decisions and errors explicit.","Side-by-side comparison directs attention to when and why a method works and can build procedural flexibility and diagnostic reasoning.","algebra | problem solving | error diagnosis","worked-example discussion | small group | practice set","Enough baseline knowledge to understand candidate strategies | Prompts requiring explanation | Subsequent independent solving","Use active comparison rather than passive inspection | Match complexity to prior knowledge","Mixed or negative effects for learners without baseline knowledge | Confusing exposure to an error with understanding it | Overloading novices with too many methods","Flexible, justified method choice and error repair; measure=Detect and correct error, generate another solution, select an efficient first step, justify choice, and transfer; timing=After comparison and on a new problem; caveat=Gains may appear in flexibility without uniform concept or procedure gains","context-dependent","moderate","IES algebra guide rates multiple-strategy comparison moderate; solved-problem analysis evidence is minimal and mixed.","direct-intervention","Best after initial procedural footholds in algebra and related mathematics.","","contextual-option","Retrieve after diagnosing sufficient baseline knowledge and require explanation plus independent transfer.","source:algebra-wwc | source:worked-examples-meta","","mathematics | comparison | error | flexibility","inherited"
"pedagogy:math-systematic-representations","Systematic mathematical language and representation","tactic","established","cognitive | instructional-design","mathematics","primary | middle","explain | practice","lesson","Use explicit cumulative instruction to link precise mathematical language, quantities, selected visual or concrete models, and symbols.","Stable mappings among language, quantity, diagrams, and notation reduce ambiguity and build both conceptual and procedural access.","arithmetic | fractions | word problems | algebra readiness","core instruction | targeted intervention","Diagnosis of the current mathematical bottleneck | A coherent limited representation set | Modeled and guided practice","Explain how each representation maps to the abstraction | Fade models when independent reasoning is ready","Too many competing models | Manipulatives becoming procedures without meaning | Language demands hiding mathematical knowledge","Conceptual and procedural mapping across forms; measure=Explanation, translation among representations, procedural accuracy, and generalization; timing=During intervention and on a novel representation; caveat=Successful manipulation without explaining the mathematical relation is insufficient","strong","high","IES/WWC rates systematic instruction, mathematical language, and selected representations strongly for elementary intervention.","direct-intervention","Elementary learners struggling with mathematics; adapt model and language to content.","","candidate-default-with-fit-check","Use a coherent representation system tied explicitly to language, symbols, and independent reasoning.","source:math-intervention-wwc | source:ies-study","","mathematics | representation | intervention | language","inherited"
"pedagogy:mathematical-proficiency-strands","Five strands of mathematical proficiency","framework","established","instructional-design | cognitive","mathematics","primary | middle | secondary","sequence | assess","program-system","Mathematical proficiency is an interwoven set of five strands, so a curriculum that develops only fluency or only understanding is incomplete by definition.","The strands are mutually dependent: strategic competence needs fluency to be feasible and understanding to be selective, and disposition governs whether either is exercised.","curriculum evaluation | assessment blueprinting | goal setting","curriculum design | assessment design | teacher education","Assessment that can reach more than one strand","It is a consensus framework, not an intervention with an effect size | Strands are hard to assess separately | Productive disposition is rarely measured at all","Claiming curricular quality from framework alignment | Assessing only the two easiest strands | Using it as a slogan rather than an audit tool","Coverage across strands; measure=Assessment blueprint mapped to all five strands with evidence for each; timing=At curriculum review; caveat=Alignment to a framework is not evidence of learning","normative-standard","high","National Research Council consensus synthesis of mathematics learning; a definitional framework rather than a causal claim.","consensus-design","Widely adopted in mathematics education policy and curriculum.","","contextual-option","Use as a coverage audit for mathematics goals and assessments, not as evidence of effectiveness.","source:adding-it-up | source:early-math-nrc","","framework | mathematics | curriculum | assessment","new"
"pedagogy:metacognitive-calibration","Metacognitive calibration and self-regulation","framework","consolidating","cognitive","general","middle | secondary | postsecondary | adult-workplace","self-regulate","unit-course","Teach learners to plan, monitor against evidence, select or change strategies, and evaluate outcomes.","More accurate monitoring supports better allocation of effort, strategy choice, and help seeking across a learning cycle.","independent study | complex problem solving | long projects","classroom | online learning | workplace","Concrete domain strategies | Models and guided practice before independent regulation | External performance evidence","Use delayed or performance-grounded judgments | Fade generic prompts when learners internalize the cycle","Equating confidence with calibration | Generic reflection that adds load | Assuming novices can self-direct without knowledge","Monitoring accuracy and adaptive control; measure=Predicted-versus-actual performance, logged strategy changes, help seeking, and delayed outcome; timing=Before, during, and after a task; caveat=Self-report alone does not establish regulation or learning","context-dependent","moderate","Meta-analyses support explicit metacognitive strategy instruction, while transfer and prompt effects vary.","direct-intervention","Across school and adult learning, contingent on domain knowledge and explicit strategy instruction.","","contextual-option","Use concrete, domain-grounded cycles tied to objective evidence rather than free-form reflection.","source:metacognition-meta | source:ies-study | source:hpl2","","general | metacognition | self-regulation | adult","inherited"
"pedagogy:metacognitive-monitoring-accuracy","Monitoring accuracy and overconfidence","construct","established","cognitive","general","middle | secondary | postsecondary | adult-workplace","self-regulate | diagnose","micro-move","Learners are systematically overconfident about what they have learned, and the cues they use for judging learning are usually the wrong ones.","Judgments rely on processing fluency, which is inflated by rereading and by the presence of the material, so easy processing is misread as durable knowledge.","study decisions | self-assessment | restudy allocation","study strategies | adaptive software | coaching","An external performance measure to calibrate against | Delayed rather than immediate judgments","Immediate judgments are strongly inflated; delayed judgments are far better | Learners resist strategies that feel harder despite better outcomes | Confidence ratings alone are not a learning measure","Letting learners choose study strategies on felt fluency | Using self-rated understanding as a mastery signal | Reinforcing overconfidence with easy in-session success","Calibration gap; measure=Confidence judgments paired with delayed performance, reported as calibration error; timing=After a delay; caveat=A confident learner can be the least accurate one","strong","high","A large replicated literature on judgment-of-learning inaccuracy and fluency-based misattribution.","direct-intervention","Robust across ages and materials studied.","","candidate-default-with-fit-check","Never let self-rated understanding gate progression; ground monitoring in delayed external performance.","source:dunlosky-rawson-overconfidence | source:bjork-self-regulated | source:soderstrom-bjork","","construct | metacognition | measurement | warning","new"
"pedagogy:minimal-guidance-instruction","Minimally guided instruction for novices","anti-pattern","consolidating","cognitive","general | science | mathematics","cross-lifespan","explain | practice","lesson","Instruction that withholds guidance while novices search for solutions is less effective than guided instruction, and can leave misconceptions unchallenged.","Novices lack the schemas that make search productive, so unguided problem solving consumes working memory on search rather than on learning.","method selection for novices | curriculum design","classroom | laboratory | adaptive software","None; this is a screening criterion","The critique targets minimal guidance, not inquiry or problem-based approaches that include guidance | Learners with high prior knowledge can benefit from reduced guidance | Deliberate short generation phases followed by instruction are a different and supported design","Reading this as an argument against all inquiry | Reading the counterargument as licence to withhold guidance | Applying a single guidance level to all learners","Guidance level recorded and matched to prior knowledge; measure=Record what guidance was provided and analyse outcomes by prior-knowledge band; timing=Per activity; caveat=Studies that do not report guidance level cannot settle this question","refuted","high","A major critique supported by discovery-learning meta-analysis showing unassisted discovery underperforms explicit instruction, while enhanced and guided discovery outperform both.","direct-intervention","Robust for novices; the picture changes with expertise.","","avoid","Never withhold guidance from novices; make guidance level an explicit, recorded, prior-knowledge-dependent design decision.","source:kirschner-minimal-guidance | source:alfieri-discovery | source:lazonder-harmsen","","anti-pattern | refuted | novice | scaffolding","new"
"pedagogy:montessori-education","Montessori education","method","consolidating","constructivist | developmental","general","preschool | primary","sequence | motivate | practice","program-system","Classic Montessori shows some positive academic and social outcomes, but studies vary in quality and in how faithfully the method is implemented.","Child-chosen work with self-correcting materials in mixed-age classrooms is intended to combine agency with structured progression.","early years programme choice | self-directed learning environments","preschool | primary school","Fidelity to the classic materials and structure | Trained teachers | Mixed-age grouping","Implementation varies enormously under an unprotected name | Selection effects are strong in non-randomized studies | Supplemented versions show weaker results than classic implementations","Generalizing from lottery-based studies in atypical settings | Assuming the label guarantees the method | Ignoring access and cost inequities","Outcomes with fidelity documented; measure=Academic and social measures plus an implementation-fidelity audit; timing=Across programme years; caveat=Programme name alone tells you nothing about what happened","context-dependent","low","A systematic review finds generally positive but heterogeneous evidence, with quality and fidelity limitations across studies.","direct-intervention","Preschool and primary; heavily dependent on implementation.","","contextual-option","Evaluate the specific implementation, not the label; require fidelity documentation before citing the evidence.","source:lillard-montessori | source:weisberg-guided-play","","method | early-childhood | play | agency","new"
"pedagogy:motivation-need-support","Motivation through autonomy, competence, belonging, and purpose","principle","established","motivational-social","general","cross-lifespan","motivate | climate","unit-course","Offer meaningful bounded choice, achievable challenge with structure, progress evidence, relational safety, and valued purpose.","Support for autonomy, competence, and relatedness can promote more autonomous regulation, engagement, and persistence.","sustained learning | challenge | self-directed work","classroom | online | workplace","Real rather than illusory choices | Clear structure and competence-building support | Emotionally safe climate","Measure motivation and achievement separately | Attend to culture, identity, and context","Equating autonomy with no guidance | Forced choice | Treating motivation as a fixed learner trait | Assuming engagement guarantees learning","Autonomous engagement with learning progress; measure=Choice rationale, persistence, help seeking, need satisfaction, belonging, and objective performance; timing=Across a sequence, not one task; caveat=Self-reported enjoyment is a proximal outcome, not achievement","context-dependent","moderate","Intervention meta-analysis and National Academies consensus support need-supportive design, with heterogeneous and sometimes nonsignificant outcomes.","mixed-direct-and-inferential","Across ages, but effects and culturally meaningful enactments vary.","","contextual-option","Combine choice with structure, feedback, belonging, and actual opportunities to build competence.","source:motivation-meta | source:hpl2 | source:adolescent-nasem","","motivation | belonging | agency | culture","inherited"
"pedagogy:multi-tiered-support","Responsive intervention tiers (RTI/MTSS)","framework","consolidating","instructional-design | psychometric | critical-equity","special-education | literacy | mathematics | general","primary | middle | secondary","diagnose | sequence | access","program-system","A tiered framework where universal instruction, targeted support, and intensive intervention are allocated by response data rather than by category labels.","Screening plus progress monitoring routes support by demonstrated need and response, allowing earlier intervention than referral-based models.","support allocation | early intervention | eligibility processes","school systems | intervention","Strong universal instruction at tier one | Valid screening and progress monitoring | Actual capacity to deliver intensive support","Weak tier-one instruction makes the whole system a referral pipeline | Implementation quality varies enormously | Using response data for disability identification remains technically contested","Tiers used to delay evaluation and services | Disproportionate placement by group | Monitoring without changing instruction","Response and equity of placement; measure=Progress-monitoring response rates plus tier placement disaggregated by group; timing=Termly; caveat=Tier movement without instructional change indicates a process, not a support system","context-dependent","moderate","A widely adopted framework with a substantial measurement base and ongoing technical debate about identification use.","mixed-direct-and-inferential","Mostly United States school systems.","","contextual-option","Only meaningful with strong universal instruction and real intervention capacity; audit placement for disproportionality.","source:fuchs-rti | source:deno-cbm | source:reading-intervention-wwc","","framework | intervention | equity | assessment","new"
"pedagogy:multilingual-programme-models","Programme models for multilingual learners","framework","consolidating","sociocultural | critical-equity","multilingual | literacy | science | mathematics","preschool | primary | middle | secondary","access | sequence | explain","program-system","Multilingual learners benefit when their home language is treated as an asset and when academic content is not delayed for language acquisition.","Home-language knowledge transfers to the new language, and content learning and language learning develop together rather than sequentially.","programme design | content plus language integration | assessment of multilingual learners","classroom | school systems | assessment","Home-language information for each learner | Teachers prepared for integrated content and language work | Assessment in a language the learner can access","Programme model comparisons are confounded by implementation and policy | Language proficiency and content knowledge must be assessed separately | Local policy often constrains available models","Delaying grade-level content until language is 'ready' | Misdiagnosing language barriers as learning disabilities | Treating multilingualism as a deficit","Content learning and language growth, separately; measure=Content assessment with language support plus separate language proficiency measures; timing=Across years; caveat=A single English-medium test confounds content knowledge with language proficiency","strong","moderate","National consensus reports on multilingual learners plus evidence-rated practice guidance for teaching academic content and literacy to English learners.","consensus-design","Strongest evidence base is United States English-learner policy contexts.","","candidate-default-with-fit-check","Keep content at grade level with language support, and never let an English-medium score stand as a content measure.","source:english-learners-nasem | source:el-stem-nasem | source:ell-wwc","","framework | multilingual | equity | access","new"
"pedagogy:multimedia-coherence","Coherent multimedia and integrated representations","principle","consolidating","cognitive | instructional-design","general | digital-environments","cross-lifespan","explain | access","lesson","Combine words and relevant graphics when both serve the target relation, integrate references spatially or temporally, and remove seductive or redundant material.","Complementary representations can support selection, organization, and integration while coherent layout reduces avoidable search and split attention.","process explanation | spatial relation | system model","slides | interactive media | textbook | simulation","A target relation that benefits from depiction | Accessible alternatives for visual and auditory content","Representation choice must follow content and access needs, not a learner-style label | Signal relations explicitly","Decorative media | Narrating identical dense on-screen text | Assuming more modalities always help","Accurate integration across representations; measure=Explanation, diagram-text mapping, retention, transfer, and access-barrier report; timing=After learning and on a novel representation; caveat=Preference for a format is not evidence that it improves learning","context-dependent","moderate","Evidence-rated institutional guidance supports graphics with verbal descriptions, with cognitive-load and accessibility boundary conditions.","direct-intervention","Strongest when visuals depict relevant structure and are coherently integrated.","","contextual-option","Use content-appropriate, coherent, accessible representations rather than modality matching.","source:ies-study | source:cognitive-load | source:wcag22","","representation | multimedia | accessibility | cognitive-load","inherited"
"pedagogy:multimedia-learning-theory","Cognitive theory of multimedia learning","theory","consolidating","cognitive | instructional-design","general | digital-environments","cross-lifespan","explain | access","lesson","Learners process words and pictures in separate limited channels and learn best when instruction helps them select, organize, and integrate both.","Dual channels plus limited capacity plus active processing imply that extraneous material competes with the integration that produces understanding.","explanatory media design | animation and narration | slide and text design","instructional materials | video | adaptive software | interfaces","Content with a spatial or causal structure worth depicting | Learner access to both channels or an equivalent alternative","Most principles are established in short laboratory lessons with novices | Several principles reverse with expertise | Channel assumptions must never be applied to individual learners as styles","Applying principles as universal rules regardless of content | Stripping media that carried real meaning | Confusing engagement ratings with learning","Comprehension and transfer from the material; measure=Retention plus transfer items keyed to the depicted structure; timing=Immediately and after a delay; caveat=Liking the media does not track learning from it","context-dependent","moderate","Many replicated short-lesson experiments with meaningful boundary conditions and expertise reversals.","direct-intervention","Strong for novice learners and brief explanatory materials; weaker for long authentic courses.","","contextual-option","Apply per principle with a fit check on learner expertise and content, not as a global style guide.","source:mayer-moreno-load | source:mayer-multimedia-2017 | source:ginns-modality","","theory | multimedia | representation | design","new"
"pedagogy:multiple-intelligences-matching","Multiple intelligences as an instructional matching policy","anti-pattern","deprecated","cognitive | psychometric","general","cross-lifespan","diagnose","program-system","Multiple intelligences lacks the empirical support required to justify categorizing learners or matching instruction to a supposed dominant intelligence.","The theory's proposed independent intelligences are not supported by the cognitive and psychometric evidence, so matching has no mechanism to operate through.","learner categorization | instructional matching | curriculum design claims","classroom | teacher education | product evaluation","None; this is a screening criterion","Rejecting matching does not mean rejecting varied representations, which have their own separate rationale | The theory remains popular and is often conflated with valuing diverse strengths","Labelling learners by intelligence type | Reduced curriculum access based on a label | Time spent producing eight versions of every activity","Justification independent of the label; measure=Require a content-based rationale for any representational choice; timing=At planning; caveat=Varying representations is fine; matching learners to types is not","refuted","high","Critical review finds the theory lacks supporting empirical evidence for independent intelligences or for instructional matching.","mixed-direct-and-inferential","The critique is theory-level.","","avoid","Never classify learners by intelligence type; choose representations by content and access instead.","source:waterhouse-mi-critique | source:learning-styles | source:willingham-learning-styles","","anti-pattern | refuted | learner-traits | warning","new"
"pedagogy:music-chess-far-transfer","Music and chess training for general cognitive gains","anti-pattern","deprecated","cognitive","music | arts | general","preschool | primary | middle | secondary","transfer","program-system","Music training does not produce meaningful transfer to cognitive or academic skills once study quality is accounted for; the same pattern holds for chess.","Apparent effects come from selection, expectancy, and low-quality designs; there is no general cognitive faculty for such training to strengthen.","arts programme justification | curriculum advocacy | claims review","school systems | policy | enrichment programmes","None; this is a screening criterion","The refutation concerns transfer claims, not the value of music or arts education itself | Effects approach zero as design quality rises | Correlational studies remain heavily confounded by family background","Defending arts education on a false transfer premise, which collapses when challenged | Cutting arts when the transfer claim fails | Marketing enrichment programmes on cognitive gains","Transfer under high-quality design; measure=Randomized active-control designs with independent cognitive measures; timing=Post-programme; caveat=Effect size declines toward zero as design quality increases","refuted","high","Multilevel meta-analysis finds music training effects on cognitive and academic outcomes are negligible, with effect size inversely related to design quality.","direct-intervention","Children and adolescents across many studies.","metric=g; value=0; note=Approximately zero in high-quality designs.","avoid","Justify arts and music on their intrinsic and cultural merits; never on cognitive transfer.","source:sala-gobet-music | source:simons-brain-training","","anti-pattern | refuted | arts | transfer","new"
"pedagogy:neuromyths","Neuromyths in education","anti-pattern","deprecated","neuroscience | cognitive","general | teacher-development","cross-lifespan","diagnose","program-system","Beliefs such as learning styles, left- versus right-brained learners, and VAK matching are widely held by educators and are not supported by neuroscience.","Plausible-sounding neuroscience vocabulary attached to intuitive folk psychology spreads faster than the evidence that contradicts it.","professional development content | product claims review | curriculum vetting","teacher education | product evaluation | school systems","None; this is a screening criterion","Prevalence is high even among teachers with general neuroscience knowledge | Debunking alone changes belief slowly | Some myths contain a kernel of real findings misapplied","Instructional time spent on ineffective matching | Neuroscience language lending false authority to products | Learners internalizing a false self-label","Claim traceable to evidence; measure=Trace every brain-based claim to a primary source and check the inference; timing=At adoption review; caveat=Neuroscience vocabulary in marketing is a warning sign, not a credential","refuted","high","Surveys document high prevalence among teachers, and reviews establish that the core claims lack neuroscientific support.","mixed-direct-and-inferential","Documented across many countries.","","avoid","Screen out at adoption; treat neuroscience framing in educational products as a claim to verify, not evidence.","source:dekker-neuromyths | source:howard-jones-neuromyths | source:learning-styles","","anti-pattern | refuted | warning | teacher-development","new"
"pedagogy:note-taking","Note-taking format and generative processing","tactic","disputed","cognitive","general","secondary | postsecondary | adult-workplace","consolidate | self-regulate","micro-move","Notes help most when they require selection and paraphrase rather than verbatim capture; the specific claim that longhand beats typing has not replicated reliably.","Selecting and rephrasing forces processing during encoding and produces a better external record for later retrieval practice.","lecture learning | reading study | meeting and training capture","higher education | classroom | workplace learning","Time to review the notes later | Enough background to select what matters","Medium matters less than the processing it induces | Original longhand-versus-laptop findings failed to replicate at scale | Note quality depends on prior knowledge","Banning devices on the strength of a non-replicated finding | Creating a transcript that is never revisited | Accessibility harm when handwriting is mandated","Paraphrase rate and later retrieval; measure=Note coding for verbatim versus paraphrase plus delayed test performance; timing=During and after study; caveat=Longer notes are not better notes","contested","moderate","The influential longhand-advantage experiment failed to replicate in a large direct replication; the general generative-processing account remains supported.","direct-intervention","Higher education lecture settings dominate the evidence.","","do-not-generalize","Recommend generative note-taking and later review; do not issue a handwriting-versus-typing mandate, which also raises accessibility problems.","source:mueller-oppenheimer | source:morehead-replication | source:dunlosky-techniques","","tactic | contested | consolidation | accessibility","new"
"pedagogy:one-to-one-tutoring","One-to-one and small-group tutoring","method","established","cognitive | sociocultural","general | literacy | mathematics","primary | middle | secondary | postsecondary","diagnose | practice | feedback | climate","program-system","Sustained tutoring by a trained tutor with a small ratio, aligned to the curriculum and scheduled during the day, is among the best-evidenced interventions available.","A tutor can diagnose the specific gap, adapt within seconds, keep the learner responding continuously, and sustain a relationship that supports effort.","gap remediation | foundational skills | accelerated support","one-to-one | small group | school day | intervention","Trained tutors with materials | Curriculum alignment | Consistent scheduling and attendance","Effects depend heavily on dosage, ratio, tutor training, and alignment | Volunteer, low-dosage, or after-school models perform substantially worse | It is expensive and staffing-constrained","Claiming programme-level effects from a thin implementation | Displacing core instruction rather than supplementing it | Assuming the classic two-sigma figure is a reproducible benchmark","Accelerated growth relative to a comparison group; measure=Curriculum-aligned progress monitoring plus an independent outcome measure; timing=Every few weeks and at programme end; caveat=Tutor-administered measures can be optimistic","strong","high","Long-standing meta-analytic evidence for tutoring effects, with modern syntheses showing strong dependence on dosage and delivery model.","direct-intervention","Consistently positive across ages and subjects when implementation conditions are met.","metric=d; value=0.4; note=Typical modern high-dosage estimates cluster around 0.2-0.6; the historical two-sigma claim is not a reproducible benchmark.","candidate-default-with-fit-check","Best-evidenced intensive support model; specify dosage, ratio, training, and alignment before claiming its effects.","source:cohen-tutoring-meta | source:bloom-two-sigma | source:vanlehn-tutoring","","method | intervention | adaptive | equity","new"
